nodes,group_size,rep,mode,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path
128,128,5,mcast,1,92,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r5.cm
128,128,6,baseline,1,42,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r6.cm
128,128,6,mcast,1,42,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r6.cm
128,128,7,baseline,1,36,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r7.cm
128,128,7,mcast,1,36,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r7.cm
128,128,8,baseline,1,115,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r8.cm
128,128,8,mcast,1,115,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r8.cm
128,128,9,baseline,1,86,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r9.cm
128,128,9,mcast,1,86,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r9.cm
1024,2,0,baseline,1,349,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r0.cm
1024,2,0,mcast,1,349,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r0.cm
1024,2,1,baseline,1,609,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r1.cm
1024,2,1,mcast,1,609,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r1.cm
1024,2,2,baseline,1,602,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r2.cm
1024,2,2,mcast,1,602,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r2.cm
1024,2,3,baseline,1,226,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r3.cm
1024,2,3,mcast,1,226,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r3.cm
1024,2,4,baseline,1,741,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r4.cm
1024,2,4,mcast,1,741,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r4.cm
1024,2,5,baseline,1,219,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r5.cm
1024,2,5,mcast,1,219,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r5.cm
1024,2,6,baseline,1,627,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r6.cm
1024,2,6,mcast,1,627,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r6.cm
1024,2,7,baseline,1,332,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r7.cm
1024,2,7,mcast,1,332,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r7.cm
1024,2,8,baseline,1,103,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r8.cm
1024,2,8,mcast,1,103,0,2048,1,0,2275,2275,bcast_sweep/bcast_n1024_g2_r8.cm
1024,2,9,baseline,1,420,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r9.cm
1024,2,9,mcast,1,420,0,2048,1,0,3413,3413,bcast_sweep/bcast_n1024_g2_r9.cm
1024,4,0,baseline,1,677,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r0.cm
1024,4,0,mcast,1,677,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r0.cm
